company_name,title,content
サイバーエージェント,vision | 21世紀を代表する会社を創る,"Mission Statement

インターネットという成長産業から軸足はぶらさない。

ただし連動する分野にはどんどん参入していく。

オールウェイズFRESH!

能力の高さより一緒に働きたい人を集める。

採用には全力をつくす。

若手の台頭を喜ぶ組織で、年功序列は禁止。

スケールデメリットは徹底排除。

迷ったら率直に言う。

有能な社員が長期にわたって働き続けられる環境を実現。

法令順守を徹底したモラルの高い会社に。

ライブドア事件を忘れるな。

挑戦した敗者にはセカンドチャンスを。

クリエイティブで勝負する。

「チーム・サイバーエージェント」の意識を忘れない。

世界に通用するインターネットサービスを開発し、グローバル企業になる"
サイバーエージェント,Purpose | 新しい力とインターネットで日本の閉塞感を打破する,"あらゆる産業のデジタルシフトに貢献する

新しい未来のテレビABEMAを、いつでもどこでも繋がる社会インフラに

テクノロジーとクリエイティブの融合で世界に挑戦する

年功序列を排除し、21世紀型の日本的経営を体現する

時代の変化に適合し、グローバルカンパニーを目指す

インターネットを通じて日本を元気に"
DeNA,"MISSION | 一人ひとりに
想像を超えるDelightを","夢中になって遊ぶ愉しさ、日々実感する確かな便利さ
かけがえのない健やかさ、そして世界があっと驚く新しさ

私たちがつくるDelightは、さまざまな形で生活に寄り添い
人生を彩り豊かにします

技術と情熱をもって、挑戦と変化を楽しみ
世界にひろがる、未来につながるDelightを届け続けます"
DeNA,VISION,"DeNAは、インターネットやAIを自在に駆使しながら
一人ひとりの人生を豊かにするエンターテインメント領域と
日々の生活を営む空間と時間をより快適にする社会課題領域の
両軸の事業を展開するユニークな特性を生かし
挑戦心豊かな社員それぞれの個性を余すことなく発揮することで
世界に通用する新しいDelightを提供し続けます"
Gree,Mission | インターネットを通じて、世界をより良くする。,"「インターネットを通じて、世界をより良くする。」
そんな使命感と情熱の中でグリーは始まりました。その始まりの日から、インターネットの新たな可能性を開拓しより早くより多くの人に提供するために、行動を続けています。新しい挑戦は常に成功するものではありません。しばしば結果の出ないこともあります。
それでもなお、そこに少しでも可能性がある限り、挑戦をやめることはありません。
インターネットが世の中に与える変化は、まだ始まったばかりです。いくつもの可能性が、未だ可能性のまま残されています。グリーはこれらの可能性を実現すべく、使命感と情熱を行動に移します。
より楽しく幸せな毎日のために。より効率的で自由公平な社会のために。
インターネットを通じて、世界をより良くするために。"
Gree,Vision(目指す姿),"毎日を楽しく幸せに、社会を自由で効率的に。
インターネットは単にものごとを速く・便利にするだけではありません。
我々はメールやSNSを通じ、インターネットが登場する以前よりはるかに多くの家族や友人、大切な人たちと心を通わせる事ができます。また旧弊な体制に縛られること無く多種多様な情報に自らアクセスし、考え、判断し、新たな一歩を踏み出す事ができるようになっています。
我々はインターネットサービスを通じて人々が過ごす毎日をより楽しく幸せに、私たちの社会をもっと自由で効率的にしていく事を使命としています。

新しいサービスをより早く、より多くの人へ。
インターネットの普及はそれまで不可能とされた多くのことを可能にし、人々の生活や社会に大きな影響を与えてきました。今ではもう、Webやメールが無い時代などは想像もできない過去となりつつあります。
しかし、インターネットが世の中に与える変化はまだ始まったばかりです。多くの可能性が実現されずに未だ可能性のまま残されています。
それを1つでも多くサービスという形で生みだし、それを通じて1秒でも早く世の中を変え、それを1人でも多くの人に利用してもらいたい。
我々は、そこに使命を感じ、情熱をかけて取り組んでいます。

素晴らしいサービスを生み出すために素晴らしい会社を作る。
どんな革新的なアイデア、優れた技術、豊富な資金があっても、1人ではそれを実現できないことを我々は知っています。多くの仲間が集まり、苦難を乗り越える中で練り上げられる素晴らしいチームがあってこそ、素晴らしいサービスは生み出されるのです。
素晴らしい会社を作ることは、素晴らしいサービスを作るための第一歩です。
多少の語弊を恐れずに言うならば、我々は全ての人の要求に応えられるような「素晴らしい会社」を目指しているわけではありません。作ったサービスが誰からも否定されることもあるでしょう。
高い目標を持ち、未知なことに取り組み、新しい価値を生み出していこうとすれば、おそらく間違いなく、失敗が毎日続くことも、成功する確率が何もないような暗い気持ちになることもあるでしょう。世の中にないサービスを生み出すことは、簡単なことではありません。しかし、それを知っていても可能性のある限り挑戦してしまうような、そういう人たちだけが新しい価値を創造していくのです。
我々は、そんな可能性がある限り挑戦してしまう人たちにとって、最も素晴らしい会社を作ることを通じて、社会に新しい価値を創造していきます。"
Gree,Value(行動規範),"ロジカル × クリエイティブ × スピード。
ロジカルであること、クリエイティブであること、スピードがあること。
どれが欠けてもグリーでは価値のある仕事になりません。事業の状況によって優先度は異なっても、3つの要素はトレード・オフの関係にはなく、3つの要素の掛け算の結果を大きくすることが大事です。3つの要素の内どの要素が欠けても掛け算の結果は大きくはならないのです。

現状に甘んじない。さらに高い目標をめざす。
どんなに優秀な人材や組織でも、その時点で満足してしまったら成長は止まります。
常に現状よりもストレッチした高い目標を立て、それに向かって努力することで、飛躍的な成長を実現することができます。

常に前向きに挑戦する。成功するまでやり続ける。
高い目標を実現するためには様々な障害が立ちはだかるのが常です。そこでいつも環境や人のせいにして諦めるのではなく、強い意志を持って前向きに挑戦することによって、不可能と思えることを可能にします。
執念を持って粘り強く挑み続けることで、不可能と思えた成功を勝ち取ることができます。

一流の仲間を集め一流のチームを作る。
素晴らしいサービスを作り出していくためには、一流のチームが必要です。そのためにはまず、社内外で最高の仲間を集め、目標に向かって巻き込んでいく必要があります。
そして、全員で採用と育成にコミットし、お互いをよく知り、高め合い、継続的に最大限の成果を生み出せるチームを作り上げていきます。

人に、社会に、仕事にまじめ。
お客さまに誠実に接し、素晴らしいサービスで喜んでもらえなければグリーは存在し続ける意味がありません。グリーで働く仲間、取引先の皆様、社会全体に対して誠実でなければグリーは存在し続ける意味がありません。
規律を重んじて、自分たちで決めたことは守り、誠実に仕事をしていくことで、自由な発想を活かしながら、全員で力を合わせて継続的な成功を勝ち取ることができます。
"
メルカリ,"ミッション | あらゆる価値を循環させ、
あらゆる人の可能性を広げる",「限りある資源を循環させ、より豊かな社会をつくりたい」。創業者である山田進太郎が世界一周の旅で抱いた、そんな問題意識によって生まれたのがフリマアプリ「メルカリ」です。テクノロジーの力によって、世界中の個人と個人をつなぎ、誰もが簡単にモノの売り買いを楽しめる。それにより資源を循環させる豊かな社会、個人がやりたいことを実現できる社会をつくっていきたいと考えています。
メルカリ,バリュー,"メルカリには、ミッションを達成するために大切にしている3つのバリューがあります。
 
 
Go Bold
大胆にやろう

世の中に大きなインパクトを与えるイノベーションを生み出すためには、メンバー全員が前例にとらわれず、大胆にチャレンジすることが大切です。そのためには挑戦を続け、数多くのトライアル・アンド・エラーを繰り返し、失敗から学びを得ることが重要です。常に会社や自身のビジョン、あるべき姿を見失わず、周囲をリードしながら、ミッションの達成を目指します。
 
All For One
全ては成功のために

大きな成功を得るためには、チームの力を合わせることはもちろん、やるべきことを見極め、決定したことに全員でコミットすることが大切です。また、メンバー全員が手段や役割に固執せず、成功するために何が必要で、何を求められているのかを考え抜き、パフォーマンスを最大限に発揮することで、ミッションの達成を目指します。
 
 
Be a Pro
プロフェッショナルであれ

一人ひとりがその道のプロフェッショナルとして高い専門性を持ち、日々の学びを怠らない姿勢は、個人のみならずチームに良い影響を及ぼします。自らを高めるためには高度なスキルとポジティブなマインドの両方を持ち、行動に移すことが重要です。自らの仕事にオーナーシップと責任を持ち、成果や実績にコミットすることでミッションの達成を目指します。"
楽天,企業理念,"楽天グループは、「イノベーションを通じて、
人々と社会をエンパワーメントする」ことをミッションとしています。

ユーザーや取引先企業へ満足度の高いサービスを提供するとともに、
多くの人々の成長を後押しすることで、社会を変革し豊かにしていきます。

「グローバル イノベーション カンパニー」であり続けるというビジョンのもと、
企業価値・株主価値の最大化を図ってまいります。"
楽天,Vision | グローバル イノベーション カンパニー,"私たちは世界中の人々が夢を持って幸せに生きられる社会を創るために

知力と創造力と想いを結集し、何事をも成し遂げていく企業文化のもと

常識をくつがえすイノベーションを生み出し続けることを目指します"
楽天,Values and Principles | 楽天主義,"楽天グループのあり方を明確にすると同時に、全ての従業員が理解し実行する価値観・行動指針が「楽天主義」です。「ブランドコンセプト」「成功のコンセプト」の２つで構成されています。

私たちは、『楽天主義』を共通言語として、何事をも成し遂げようとする高い志のあるアントレプレナーシップ（起業家精神）を大切にしています。多様性あふれる従業員一人ひとりが最大限に力を発揮できる企業文化を育み、地域との共生を図りながら、グループ全体で一体感をもって企業価値を高め、 社会の発展に貢献していきます。

"
エムスリー,ミッション,インターネットを活用し、健康で楽しく長生きする人を1人でも増やし、不必要な医療コストを1円でも減らすこと
エムスリー,事業ドメイン | 世界の医療産業が拡大する変革を遂げ、ITの力で革新する,"エムスリーが導きうるのは、日本に限らず世界中の医療産業
領域です。世界のGDPの10%の市場規模をはるかに凌駕する
は、医療はもちろんのこと、医療関係者が一般の方々
で、この地球に生きる全ての方に関わりがある社会的意義
の大きな事業領域。一方で、業界には複雑かつ多様なステ
イクホルダーが存在し、予防・検査から手術や治療アプロ
いったバリューチェーンのそれぞれに高い専門性、創造
力、解決への執着が要求されます。そうした業界の高い
複雑度に対して、世界最大規模の医療従事者向けプラット
フォームを持つ私たちにしかできないユニークなアプローチ
で、業界の改革につながる価値あるサービスやプロダクト
を創出しています。"
カカクコム,ミッション | Life With - 生活と共に -,生活に溢れる情報が、一人一人の生活をもっと身近に、溶け込むようにいつもの生活をインターネットでもっと素敵に
カカクコム,バリュー,"“変わる可能性”を見つけるCHANGE
見つけた可能性に“挑戦する”CHALLENGE
必要な行動を“地道に継続する”TENACIOUS
全てはサービスへの“意志”から始まるWILL"
GMOインターネットグループ,企業理念 | スピリットベンチャー宣言,"私たちGMOインターネットグループは、1995年にインターネット事業を創業して以来、創業の精神（マインド）を受け継ぎ、培ってきました。

そして、これらをGMOインターネットグループの夢、ビジョン、フィロソフィーとして体系立て、明文化したものが「スピリットベンチャー宣言」です。

この「スピリットベンチャー宣言」には、私たちの夢や社会に果たす役割などのミッション、それを成し遂げるための事業戦略が示されています。

私たちは、この「スピリットベンチャー宣言」のもと、一丸となって社会に貢献し続けてまいります。"
GMOインターネットグループ,夢 | 人生を何に捧げるのか,"インターネットの産業の中で圧倒的""一番""になる。"
GMOインターネットグループ,ビジョン | 宝の山はどこにあるのか,"インターネットの""場""の提供に経営資源を集中し、多くのファンの「笑顔」「感動」と、その結果としての大きな利益を生む。"
GMOインターネットグループ,フィロソフィー | 何のために存在するのか,インターネットを豊かに楽しくし、新たなインターネットの文化・産業とお客様の「笑顔」「感動」を創造し、社会と人々に貢献する。
ビジョナル,Group Mission | 新しい可能性を、次々と。,"私たちは、インターネットの力で、
時代がもたらす様々な課題を、
次々と新しい可能性（ビジョン）に変え、
世の中の革新を支えていく。

「社会にインパクトを与え続ける」

その志や事業のもとに仲間が集まり、
新しい仕組みやムーブメントを生み出すことで、
本気で実現したい未来へと加速させる。"
ビジョナル,Value,"01
価値あることを、
正しくやろう

一度きりの人生、せっかく何かに取り組むなら、
誰にでも胸を張って伝えられる仕事をしよう。
お客様、株主、社内外の仲間、家族、そして自分。
関わるすべての人が幸せになる事業を創る。
この思いを常に忘れず、
これからも道の真ん中を堂々と突き進もう。

02
変わり続けるために、
学び続ける

変化し続ける時代で、何かを変えたいと思うのなら、
自分自身が一番変わっていこう。
学びは変わることを後押ししてくれる。
変わり続けることは難しく、時に苦しいけれど、
あなたの視野と可能性を広げ、
結果として人生の幸せへとつながっていく。

03
お客様の
本質的課題解決

ユーザーという言葉も含め、
一人一人が有機的な心を持つ「お客様」であると定義し、
お客様の体験を常に想像しながら、
本質的な課題を引き出し、抜本的に解決しよう。
それこそが期待以上の成果や品質、
ひいては私たちが受け取る対価となるのだから。

04
その行動で、
ブレイクスルー

誰かの主体性に頼ることなく、
自らが事業やサービスのオーナーシップを持って考え、
発言し、行動していこう。そうすれば 、
短期的な成果のために長期的な価値を犠牲にすることもない。
いま自分にできることを考え、
最初の一歩を踏み出し、一人一人がブレイクスルーしていこう。

05
事業づくりは、
仲間づくり

事業づくりにおいて、
一人の力で成し遂げられることには限界がある。
だからこそ、志を遠慮なく発信し、仲間を見つけ、
どんどん巻き込んでいくことによって、
想像もできないほどの大きな推進力を生み出そう。
そして、最高の仲間と歴史を創ろう。"
ミクシィ,パーパス | 豊かなコミュニケーションを広げ、世界を幸せな驚きで包む。,私たちがすべての領域で創業以来大切にしてきたことであり、未来へ向かってさらに大切にしていく意思でもあります。私たちはこれからも、コミュニケーションの量や頻度よりも、その質、すなわち、熱量の高いエモーションを大切にし、濃く深い、豊かなコミュニケーションをドライブすることで、感情豊かで 幸せな驚きに包まれた世界を生み出していきます。
ミクシィ,ミッション | 「心もつながる」場と機会の創造,私たちがパーパスの実現のために大切にするのは、ただ「つながる」のではなく、「心もつながる」こと。そのために、仲間や家族とつい話題にしてしまうような楽しくてワクワクする「コンテンツ」や、そこから生まれる感情を一緒に分かち合う「場と機会」を世界中に創り出していきます。
ミクシィ,MIXI WAY | ユーザーサプライズファースト,ミッションで掲げた「創造」を実現するために、私たちは改めて「ユーザーの驚きを最優先に考える」というMIXIらしい言葉を掲げました。ただのユーザーファーストでもなく、マーケティングファーストでも、自分たちファーストでもない。「そこに幸せな驚きはあるか？」という問いを、制作現場から経営判断までのすべての基準にしたい、という意志が込められています。
ミクシィ,採用ポリシー | チャレンジする人にはチャンスがある,"MIXI GROUPは、心の通う人と人の""コミュニケーション”は人生を豊かにすると信じて、様々な事業を展開しています。それゆえ、私たちはコミュニケーションを創出するためのサービスを作るチャレンジャーを広く求めています。そのチャレンジする人には、「未知の領域でビジネスを手掛ける」「これまでの概念を覆すデザイン設計」「新しい技術を駆使したサービス構築」といったチャンスがあると考えています。"
マネーフォワード,MISSON | マネーフォワードが追い求め続ける社会への貢献,"お金を前へ。人生をもっと前へ。
「お金」は、人生においてツールでしかありません。
しかし「お金」とは、自身と家族の身を守るため、また夢を実現するために必要不可欠な存在でもあります。
私たちは「お金と前向きに向き合い、可能性を広げることができる」サービスを提供することにより、ユーザーの人生を飛躍的に豊かにすることで、より良い社会創りに貢献していきます。"
マネーフォワード,VISION | MISSIONを達成するために目指すべき未来,"すべての人の、「お金のプラットフォーム」になる。
オープンかつ公正な「お金のプラットフォーム」を構築すること、本質的なサービスを提供することにより、個人や法人すべての人のお金の課題を解決します。"
マネーフォワード,VALUES | マネーフォワードが社会に約束する行動指針,"User Focus
私たちは、いかなる制約があったとしても、常にユーザーを見つめ続け、
本質的な課題を理解し、ユーザーの期待や想像を超えた価値を提供します。

Tech & Design
私たちは、テクノロジーとデザインこそが、
世界を大きく変えることができると信じています。
テクノロジーとデザインの力を最大限に生かし、
ユーザーに新しい価値を届け、社会を前に進めていきます。

Fairness
私たちは、ユーザー、社員、株主、社会などのすべてのステークホルダーに対してフェアに誠実に向き合い、オープンマインドであることを誓います。"
freee,Our Mission | スモールビジネスを、世界の主役に。,"スモールビジネスとは、中小企業や個人事業主のことを指します。フリーランスのカメラマン、美容室や珈琲屋など、日本のビジネスの実に99.7%がスモールビジネスだと言われています。

私たちは、スモールビジネスは最高の自己表現であり、イノベーションの重要な起爆剤だと考えます。小さいからこそ、しがらみにとらわれることなく、大胆に、スピード感を持ってアイデアを具現化できると考えています。"
freee,freeeが目指す理想の社会,私たちは、自分らしく経営している、カッコいいスモールビジネスが溢れる社会を目指しています。自分のこだわりを突き詰めたビジネスが活躍し、社会を豊かにしていく、そんな世界を作っていきたいと思っています。しかしながら、リソースの限られたスモールビジネスでは、人やお金の管理といったバックオフィス業務を本業の片手間でやらなければならず、本来やりたい仕事に時間を注げない実態があります。結果として、スモールビジネスの生産性は、大企業と比較して約1/2程度といわれており、日本全体の生産性低迷にもつながっています。freeeは、このような状況からスモールビジネスを解放し、全てのスモールビジネスが自由に経営できる環境を作ります。
freee,Our Vision | だれもが自由に経営できる統合型経営プラットフォーム。,"「統合型」は、単なるシステム設計の話ではありません。経営に必要なあらゆるものが繋がり、シンプルに統合されることで、スモールビジネスが自由になる体験を指します。

たとえば、時間的な自由。バラバラに行なわれている作業を有機的に繋げることで、ユーザーを負担から解放します。
あるいは、心理的な自由。分断されたデータを集約し、いつでも気軽に経営状態がわかるようにすることで、ユーザーは根拠と自信を持って、新しいチャレンジへの意思決定を下せます。
さらには、機会の自由。ユーザー同士がfreee上で繋がることで、新たなビジネス機会を創出。スモールビジネスがやりたいことを、楽しくつづけられる世界をつくっていきます。"
freee,freeeの現状と今後の戦略,日本国内には約660万社のスモールビジネスが存在し、クラウドの浸透率にも大きな余地があります。このような中で、freeeは、日本で唯一のスモールビジネス向け「統合型経営プラットフォーム」として、提供するプロダクト価値を最重要とする戦略で成長を目指していきます。個々のプロダクトの強化とプロダクト同士のつながりがうみだす統合体験により、あらゆる顧客ニーズに対応していきます。
ZOZO,企業理念,世界中をカッコよく、世界中に笑顔を。
CARTA HOLDINGS,MISSION | The Evolution Factory,"私たちは「進化」を生み出す。
変わろうとするすべての組織に。
知ってもらえずにいる商品たちに。
力を眠らせたままのあらゆる産業に。

よくする、だけでは足りない。
次のステージへのジャンプを起こす。
つながりえなかったものをつなぎ、
停滞していたものを動かす。
そんな進化を、あらゆる場所につくっていく。

そのためには、「多様な力」が必要だ。
違う才能がぶつかりあい、
自分だけでは想像もできなかった方法に
辿りつく必要がある。
だから私たちは、意志を持って、
様々な人間が共存する。
挑もうとする人と進化を起こすために。

私たちは進化推進業、
CARTA HOLDINGSです。"
CARTA HOLDINGS,VALUE,"1. 挑戦しよう。
挑戦しよう。日々のちょっとしたことでもいい。できなそうなことに一歩近づいてみよう。挑戦は、たとえ失敗しても、大切な学びになる。その学びは、いつか必ず「何か」につながる。だから、挑戦する集団でいよう。挑戦している仲間をたたえ、励まし、サポートしよう。

2. すべてを、自分ごとに。
仕事が「自分ごと」になるとき、仕事の質が上がり、何より仕事がおもしろくなる。「自分ならどうするか」「どう変えられるか」主体的に問いつづけることで、「こなすこと」を「熱中できること」に変え、意志のこもった仕事にしよう。

3. スピードは力。
時代と産業に進化を生み出そうとするとき、スピードは常に価値になる。走りながら決めて進めていく仕事でも、着実性を積み上げる仕事でも、スピードによって進化のきっかけが生まれ、顧客が安心する。私たちにとって、スピードは生命線であり、誠実さでもある。速く動くことはもちろん、スピードを力に変えることを、常に考えつづけよう。

4. 
全誠実でいよう。全誠実でいよう。
顧客に、ユーザーに、生活者に、仕事の仲間に、家族に、自分自身に、すべての相手に、誠実でいよう。短期的な成果に流されず、中長期的視点で、社会や世界を考えることも誠実さだ。人だけでなく、社会と未来に対しても誠実であろう。

5. 違いを強さに。
みんなの違いが相乗効果を生み、進化を起こし、ひとりではたどり着けない新しい時代をつくる。たがいの「違い」を知り、生かしていこう。相手の強みを見出し、認めて、その力を受け取ろう。一人ひとりが、自分らしさで貢献しよう。

6. 超えよう。
顧客やユーザー、仲間の想像の上をいくような、発想や行動を大切にしよう。言われたことの「その先」を考えよう。「思いもよらなかったこと」が、人の気持ちを動かし、期待を超える成果を生み出す。だから、誠実さも、自分らしさも、スピードも総動員して、期待を超えていこう。

7. いつだって楽しく。
仕事には、大変な時もある。問題もたくさんある。でも、どんなときも、どうやれば楽しくできるかと考える人でいよう。本当に真剣になれる仕事は、最高に楽しめる仕事。一人ひとりが楽しむことこそが、人の進化を生み出し、チームの進化になり、やがて社会をよりよいものへ進化させていく。この仕事を、この時代を、楽しもう。"
sansan,Mission | 出会いからイノベーションを生み出す,"出会いからイノベーションを生み出す
いつの時代も、世界を動かしてきたのは出会いです。
人と人、企業と企業、その出会いの連鎖が社会を前進させます。

私たちは出会いが持つ可能性を再発見し、
未来につなげることでビジネスを変えていきます。

イノベーションにつながる新しい出会いを生み出す。
出会いの力でビジネスの課題にイノベーションを起こす。
そして、ビジネスの出会い、そのもののあり方を変えていきます。"
sansan,Vision | ビジネスインフラになる,"水を通す道、電気やガス、インターネットを通す道。
誰もが利用するさまざまな道が、生活のインフラとして人々を支えています。

私たちはビジネスという世界において、
誰も考えつかなかったような新たな道になろうとしています。

これまで行けなかった場所。見たこともない景色。それを現実のものにする。

ビジネスの中で誰もが毎日のように通るその道は、
人と人、企業と企業をつなぎ、イノベーションを生み出していくのです。"
sansan,Values | 仕事に向き合い、情熱を注ぐ,"私たちが向き合っているのは、いまはまだ存在しない新しい当たり前をつくることです。 それは道なき道を切り拓くように、とても壮大で一朝一夕に実現できることではありません。 薄皮を一枚一枚重ねるように、小さな努力を一つずつ積み重ね、目の前の仕事に本気で向き合った先にこそ実現できるものです。 だからこそ、他の誰でもない私たち自身の強い想いを、目の前の仕事やプロダクトに注ぎ、少しずつ育てていくことが重要だと考えています。

Lead the customer
イノベーションとは、これまでの常識を覆すようなものです。 世の中の常識ばかりに目を向けていては、決して実現できません。 そんな誰もが体験したことのない新しい世界へ、そっと導いていくのが私たちです。 誰もが想像さえしなかった場所に、新しい道を切り拓き、目指す未来に対して本当に価値あるものを提供し続けることが、私たちのあるべき姿なのです。

体験を想像する
誰かの行動を促すためには、想像力を最大限に発揮する必要があります。 体験の当事者となったとき、そこに違和感はないのか、本当にそれは現実的なのか。 誰もが迷うことなく通れる道でなければ、正しい目的地へ導くことはできません。 一般論や机上の空論ではなく、本質をついたものを提供するために、私たちが関わるあらゆる体験において大切にしていることです。

意思と意図をもって判断する
道を切り拓くのは他の誰でもない私たち自身です。 誰かが決めたことを盲目的に遂行するのではなく、どうすべきかを一人ひとりが判断するのです。 私たちはどこへ向かっているのか、どうなりたいのか、そのためにはどうすべきなのか。 一人ひとりの意思と意図が当社を動かし続けています。 そこに意思と意図はあるのか、その問いかけこそが新しい価値を生み出す原動力となっています。

最速を目指す
物事を実行するとき、最速でありたい。 それは何も考えずに走るということでも、反射的に行動するということでもありません。 常に最速でやり遂げる方法を考え、動いていくということだと思います。 この場所に最速で道を通すにはどうするべきなのか。 考え抜いた末に、ときには立ち止まることも必要かもしれません。 何かを強制するような話ではなく、いまよりも、さらに良くしようという最速を「目指す」考え方です。

強みを活かし、結集する
私たちの向き合う仕事は、一人では成し遂げられないものが数多く存在しています。 しかし、それぞれが持っている強みを結集し、組み合わせることで、 新たな解決策や、新しい道を切り拓く力を生み出せるかもしれません。 目の前の仕事に自身の強みや同僚の強みを活かし、それぞれの持っている能力を最大限に発揮し合うことで、切り立った崖すらも道に変えることができると考えています。

感謝と感激を大切にする
私たちがこれまで切り拓いてきた道は、決して一人でつくってきたものではありません。 さまざまな部門・役割のメンバーが互いに協力し、ひとつずつ形にしてきました。 しかし、インフラと呼ぶにはまだ遠く、目指す未来を現実のものにするためには、全員の協力が必要不可欠です。 だからこそ、同僚が最高の成果を生み出し続けてくれることに感謝し、ときには一緒に喜び、同じミッションやビジョンを目指すことのできる7人8脚の精神を大切にしています。

変化を恐れず、挑戦していく
想像を超える変化にはリスクが伴います。 そのリスクを正しく認識していなければ、成果を得ることはできません。 変化すること・挑戦することが目的ではなく、その先に何を得るのかが重要です。 議論の末、変化しないということもまた一つの結論かもしれません。 その先にある恐れを認識しながら、それでも挑戦していく。 私たちはいつも、道なき道を切り拓く挑戦者であることを忘れてはいけません。"
sansan,Premise | セキュリティと利便性を両立させる,セキュリティは私たちにとっての前提条件です。セキュリティなくして私たちは存続しえません。 一方で、私たちが提供するクラウドサービスは世の中をより便利にするためのもので、多くのケースでセキュリティと利便性は相反します。 大事なことは、天秤を「セキュリティ」や「利便性」に傾かせることなく、双方を高度にバランスさせていくことだと捉えています。
リクルート,基本理念,私たちは、新しい価値の創造を通じ、社会からの期待に応え、一人ひとりが輝く豊かな世界の実現を目指す。
リクルート,ビジョン | Follow Your Heart,一人ひとりが、自分に素直に、自分で決める、自分らしい人生。本当に大切なことに夢中になれるとき、人や組織は、より良い未来を生み出せると信じています。
リクルート,ミッション | まだ、ここにない、出会い。より速く、シンプルに、もっと近くに。,"私たちは、個人と企業をつなぎ、より多くの選択肢を提供することで、「まだ、ここにない、出会い。」を実現してきました。
いつでもどこでも情報を得られるようになった今だからこそ、より最適な選択肢を提案することで、「まだ、ここにない、出会い。」を、桁違いに速く、驚くほどシンプルに、もっと身近にしていきたいと考えています。"
リクルート,バリューズ,"新しい価値の創造 / Wow the World
世界中があっと驚く未来のあたりまえを創りたい。遊び心を忘れずに、常識を疑うことから始めればいい。良質な失敗から学び、徹底的にこだわり、変わり続けることを楽しもう。

個の尊重 / Bet on Passion
すべては好奇心から始まる。一人ひとりの好奇心が、抑えられない情熱を生み、その違いが価値を創る。すべての偉業は、個人の突拍子もないアイデアと、データや事実が結び付いたときに始まるのだ。私たちは、情熱に投資する。

社会への貢献 / Prioritize Social Value
私たちは、すべての企業活動を通じて、持続可能で豊かな社会に貢献する。
一人ひとりが当事者として、社会の不に向き合い、より良い未来に向けて行動しよう。"
LINEヤフー,ミッション, 「WOW」なライフプラットフォームを創り、日常に「！」を届ける
LINEヤフー,バリュー,"ユーザーファースト
日々の業務において、「ユーザーが求めているのか」「ユーザーがより便利になるのか」
この 2つを常に判断の軸としてください。
ユーザーの関心と選択があってこそ、プロダクトは使ってもらえます。
また、ユーザーのニーズは変化し続けるものです。
世の中のあらゆることにアンテナを張りましょう。
ユーザーを取り巻く環境は、競合、市況、技術進歩など様々な因子で相対的に変化します。
ユーザーから見て私たちの会社やプロダクトがどう映るのかを俯瞰で見つめる力が必要です。
その結果として、ユーザーに選ばれるプロダクトを提供できるのです。

やりぬく
私たちの仕事には、複雑で多様な課題が日々発生します。
それぞれ難易度が高く、簡単に解決できるものではありません。
そんなときは、できない理由ではなく、できる方法を模索するスタンスを忘れないでください。
考えうるすべての方法を試し、後悔なく全力を尽くせば、
たとえ失敗したとしても、その経験は次の挑戦を成功に導く糧になるでしょう。
成功するその日まで、やりぬくのです。

少数精鋭
少数精鋭の意味するところは
「挑戦する課題に対し、最適化された精鋭組織」です。
人員が少なすぎると、当然プロダクトの完成度は低くなります。
かといって多すぎるとコミュニケーションコストばかりが膨らみ、
適切なタイミングでユーザーに届けることができません。
また、必要なケーパビリティと情熱を持ったメンバーでなければ、
最短距離での業務遂行はできません。
この「挑戦する課題に対し、最適化された精鋭組織」を意識し、
成果を出す組織を創りましょう。"