企業名,title,cocntent
サイバーエージェント,女性活躍促進制度 macalonパッケージ,社員が長く継続して働くことができる職場環境の向上を目指して9つの制度をパッケージ化した独自制度。「ママ（mama）がサイバーエージェント（CA）で長く（long）働く」という意味がある。
サイバーエージェント,家賃補助制度 2駅ルール・どこでもルール,"勤務しているオフィスの最寄駅から各線2駅圏内に住んでいる正社員に対し月3万円、勤続年数が丸５年を経過した正社員に対してはどこに住んでいても月5万円の家賃補助を支給。
"
サイバーエージェント,リフレッシュ休暇 休んでファイブ,心身のリフレッシュ、そしてさらなるチャレンジを目的に、入社3年目以上の社員が毎年5日間の年次有給休暇を取得できる。
サイバーエージェント,退職金制度（勤続インセンティブ）,一定条件での退職時に支給される勤続インセンティブ制度。30歳から積立を開始し、勤続10年以上、40歳から受け取ることが可能です。 当社業績と連動し営業利益の一定率を配分する。
サイバーエージェント,CArcle（部活動）,会社の承認を受けた部活動のこと。会社規模が大きくなり、事業部を越えたナナメの関係を作る機会が減っている今だからこそ、CArcleを通じて仕事以外の関係を作り、ライトな横軸での社員同士の関わりをCArcleがサポート。
サイバーエージェント,メンタルヘルス,"＜産業医面談＞
社員が健康で快適な環境のもと、能力を十分に発揮して仕事に取り組めるよう、随時専属産業医との面談を実施。
＜カウンセリング＞
月に一度、希望者を対象に臨床心理士資格を持ったカウンセラーとの面談機会を設けています。公私を問わず、多様なコミュニケーションの課題に対しカウンセリングを通して解決への糸口を見つけていきます。プライバシーの保護のため、相談内容について会社側は一切フィードバックを受けない
また新入社員全員を対象として、入社初年度に年二回、カウンセラーとの面談を実施しています。仕事の状況や心身のコンディションについて専門家によるヒアリングを行い、適材適所やさらなるチャレンジにつながる環境づくりのきっかけとしている"
サイバーエージェント,健康診断,病気の早期発見、健康状態の把握のため、グループ全社員が年1回の健康診断を受診する。健診結果に応じて産業医と連携してフォローアップを行い、社員の健康ケアを行っている。
サイバーエージェント,テレワーク環境の整備,IDによるセキュリティ管理、セキュリティ管理を行っている安全な経路を使ったVPN回線の提供、多人数の同時接続によるVPN回線の遅延回避対策、ビデオ会議システムの導入、業務用フォルダのクラウド化など、社員がどこにいてもストレスなく業務を継続でき、パフォーマンスを維持できる環境を整えている。
サイバーエージェント,マッサージルーム,無料で月4回（週1回×4）まで専属のマッサージ師による施術が受けられるマッサージルームを、すべてのオフィスに完備している。
DeNA,CHO（Chief Health Officer）室,社員のパフォーマンスを健康面からサポートする専門部署。運動・食事・睡眠・メンタルの４分野においてアンケートから見える課題を中心に取り組んでいます。
DeNA,健康管理室,健康相談や体調不良の相談ができる産業医及び保健師が常駐しています。毎週出勤するカウンセラーにキャリアや心身の全般について相談することもできます。
DeNA,子育て・家族支援,基本的な保険制度に加え、保養施設やスポーツ施設の利用など、保険組合独自の福利厚生プランの活用が可能です。
DeNA,年次有給休暇,入社日に最大12日付与されます（※入社初年度は入社時期により付与される有給休暇日数は変動します）。以後、毎年4月1日に在籍期間に応じて最大20日付与されます。
DeNA,積立休暇制度,育児・学校行事・介護・私傷病・不妊治療・妊娠等のライフイベントに安心して臨める仕組みとして、未消化の有給休暇のうち、失効する分を1日単位で毎年10日を上限に（最大 60日）積立て、用途を限り利用することができます。
DeNA,休暇・休職制度,生理休暇、母性管理休暇、通院休暇、休職制度をご用意しています。（期間条件が異なります）。
DeNA,結婚祝い金,"社員が結婚した際にお祝い金10,000円が支給されます。"
DeNA,産前・産後休暇,産前は6週間（多胎の場合14週間）、産後は8週間、休暇を取ることができます。
DeNA,ベビーケア休暇,配偶者が出産した際、年次有給休暇とは別に、出産予定日または出産日前後に5日間の有給休暇を取得することができます。
DeNA,出産祝い金,"社員に子どもが生まれた際にお祝い金1人につき10,000円が支給されます。"
DeNA,育児休業,子どもが1歳になるまで、育児のために休業することができます。
DeNA,育休復職サポート手当,"産前・産後休暇を取得した女性社員、または連続して2ヶ月以上の育児休業を取得した男性社員の復職に際し、子どもが満1歳6ヶ月になるまでの間、保育料補助として毎月20,000円が支給されます。"
DeNA,児童手当,"本人または配偶者の子どもが18歳に達する日以後の最初の3月31日になるまで、1人につき5,000円/月、第3子以降1人につき10,000/月が支給されます。"
DeNA,子の看護休暇,子ども（小学校3年生まで）の怪我・病気の看護や予防接種・健康診断の付き添い等の際に、年次有給休暇とは別に、1年間につき子1人の場合は5日間、2人以上の場合は10日間を限度として有給休暇を取得することができます。
DeNA,ベビーシッター補助,入会金・年会費・利用料の一部を会社が負担する形で、ベビーシッターサービスを安価に利用することができます。
DeNA,出張シッター手当,育児中でも安心して出張に行けるよう、出張に伴い子どもを預ける必要がある場合に追加で発生するベビーシッター等の費用の補助を受けることができます。
DeNA,ベビーシッター割引券,"公益社団法人全国保育サービス協会が発行するベビーシッター割引券を利用することにより、1回2,200円の割引を受けることができます。"
DeNA,介護休暇,要介護状態にある家族の介護をするため、年次有給休暇とは別に、1年間につき対象家族が1人の場合は5日間、2人以上の場合は10日間を限度として有給休暇を取得することができます。
DeNA,慶弔休暇,規定に沿って付与されます。
DeNA,確定拠出年金/確定給付年金,2つの企業年金があり、希望者は自身のライフプランに合わせて、選んだり組み合わせることができます。
DeNA,持株会,希望者に対して自社株取得を容易にし、財産形成を助成する制度で、拠出金に応じた奨励金も付与しています。
DeNA,各種従業員割引制度,"住宅仲介手数料、金融機関金利引き下げなど、各種割引があります。
※割引内容によって適用対象が異なります。"
DeNA,災害見舞金,社員の住居が被災した場合、見舞金が支給されます。
DeNA,リモートワーク手当,１勤務日につき450円が支給されます。（1ヶ月あたり7500円を上限とする）
DeNA,勤続表彰制度,勤続満３年/５年/７年/14年/20年に達した年度に表彰する制度です。各年度毎に賞品と特別休暇を付与しています。
DeNA,部活動支援制度,社内コミュニケーション促進施策として、部活動における費用支援等を受ける事ができます。自ら部を起こす、既存の部に入るなど、雇用ステータスを問わず参加する事ができます。
Gree,ファミリー在宅,子どもの登園禁止や妊娠中の体調不良等で出社できない場合月2回まで在宅勤務が可能です。
Gree,ファミリー休暇,年次有給休暇とは別に、家族の病院付き添いや妊娠中の健康診査で使用できる年5日の特別休暇を付与します。
Gree,時短／時差出勤,子どもが小学校を卒業するまで、時短勤務や時差出勤を利用することが可能です。
Gree,ドリンク補助,"ドリンクを低価格で購入できる自動販売機を設置しています。
また、ウォーターサーバーは無料でご利用いただけます。"
Gree,社内マッサージ,社員の健康維持、業務効率化を目的として、プロのマッサージ師による40分の指圧マッサージを1回500円で受けることができます。
Gree,スタッフ交流イベント,全スタッフが交流できるイベントを定期的に開催しています。MVP表彰式、役員との交流を促す企画がある他、職種別に社内活性化／交流／育成を兼ねたイベントを随時開催しています。
Gree,企業型確定拠出年金,"税制優遇を受けながら自身で資産形成を行える企業年金を用意しています。
加入/非加入や拠出額は自分で選べるので、ご自身のライフプランにあわせて利用することができます。"
Gree,チームビルディング,チーム内のコミュニケーションを活性化させて業務の円滑化を図ることを目的に、チーム会食（各種打ち上げ、新入スタッフ歓迎会など）の費用を一部補助します。
Gree,リフレッシュ休暇,グリーグループ勤続10年目を迎える社員に対して会社からの感謝を示し、対象者にはリフレッシュ休暇（10日間）と旅行券が贈呈されます。
メルカリ,フレックスタイム制,"メルカリではフレックスタイム制（コアタイムなし）を導入しています。
※一部職種を除くため、ご応募の際にお問合せください。
※メルカリには「YOUR CHOICE」というワークスタイルに関する制度があります。オフィス出社をすることも、フルリモートワークを選択することも自由に選択することができま"
メルカリ,Sick Leave（シックリーブ）,病気・ケガを事由とした休暇を年10日間、有給休暇とは別に付与します。メンバー本人だけでなく、日頃からメンバーを支えている大切な家族（配偶者やパートナー、子供、両親、祖父母、兄弟姉妹、ペット）が病気や怪我になった場合でも適応できます。
メルカリ,リラックス休暇,夏季や冬季など、時期を制限することなく、自由なタイミングで年3日間の休暇を取得できます。
メルカリ,ドリンク無料,社内に設置された自動販売機は、全て無料で利用できます。
メルカリ,インセンティブ制度,ストック・オプションおよびキャッシュ賞与を支給しています。メンバー全員が事業の成長や企業価値の向上のために取り組んでいるからこそ、得られた成果や果実を全員で分かち合いたいという考えのもと導入しています。
メルカリ,持株会制度および奨励金,メンバー全員が事業の成長や企業価値の向上のために取り組み、得られた成果や果実を分かち合いたいという考えのもと、持株会制度および奨励金を設けています。会社からの受け取れる奨励金（補助金）は25％です。そのため奨励金分を加えた額の株を購入できます。（賞与拠出にも奨励金25%がつきます） ※2021年8月時点
メルカリ,産休・育休・介護休業の支援,産休・育休・介護休業から復職する場合は、復職一時金を支給します。安心して出産や育児に専念できる環境を整えています。
メルカリ,育児・介護休暇の取得,子どもの看護および家族の介護で休暇を取得する場合は、5日間を特別有給休暇とし最大で10日間（1年あたり）まで休暇取得が可能です。
メルカリ,妊活のサポート,高額な費用が発生する不妊治療を行う場合は、所得や年齢の制限なく、その費用を会社が一部負担します。（上限金額あり）
メルカリ,卵子凍結費用の補助,卵巣刺激、採卵、麻酔、凍結保存、凍結卵子融解、凍結保存延長、延長含む保管費用など、卵子凍結に関する費用を補助します。キャリアを優先することにより妊娠や出産を諦めるという状況に対し、ライフプランの選択肢のひとつとして補助を用意することで、将来の不安を軽減するためのサポートです。なお社員の配偶者・パートナーを含む全社員が対象となり、妊活サポートの一環として200万円/子を上限として利用できます。
メルカリ,病児保育費の支援,子どもが病気にかかり、臨時で保育施設やベビーシッターを利用した場合は、利用時間の制限なく費用を支給します。
メルカリ,0歳児保育費用の補助,復職から子が1歳になるまでの期間、認可・認可外保育園およびベビーシッター利用に関する費用を補助します。育児休職から早期復職を望む場合、保育費用をサポートすることで、復帰時期の選択肢を増やし、キャリア形成やライフプランの柔軟性を高めるためのサポートです。なお、社員の配偶者・パートナーを含む全社員が対象となり、10万円/月を上限に利用できます。
メルカリ,認可外保育園の補助,認可保育園に入園できず、認可外保育園に入園する場合は、差額の保育料を会社が補助します。
メルカリ,結婚休暇&お祝い金,"結婚にあわせて、特別有給休暇とお祝い金を支給します。
※結婚の定義は、入籍・事実婚・同性パートナーとの婚姻。配偶者の定義は、その相手方とします。"
メルカリ,出産休暇&お祝い金,出産にあわせて、特別有給休暇とお祝い金を支給します。
メルカリ,忌引き休暇＆弔慰金,ご家族に万が一の不幸があった場合は、特別有給休暇や弔慰金を支給します。
楽天,フレックスタイム制度（R-Flex）,"月の所定労働時間の範囲内で、従業員が日々の始業・終業時刻、労働時間を自ら決めることができます。
業務の繁閑に合わせて労働時間を効率的に配分することで、業務生産性の向上を目指します。"
楽天,時差勤務制度（R-Timeshift）,定時前後2時間の時差勤務が可能です。
楽天,在宅勤務（R-Satellite）,妊娠・育児・介護・怪我病気を理由とした在宅勤務が可能です。
楽天,仕事と育児・介護の両立支援,"楽天における産休・育休後の復職率は、97％です（2022年実績）。仕事と育児の両立支援としては、社内託児所やマザーズルーム（搾乳室）の設置、内閣府ベビーシッター割引券の導入、オープンファミリーデーの実施等の施策を行っています。

また、女性の活躍支援としては、ワーキングペアレンツネットワーク構築、各種セミナー（休職前セミナー、復職前セミナー）の実施、育児休業中の従業員向けニュースレター配信などを実施しています。"
楽天,食事補助,"カフェテリアのあるオフィスでは、朝・昼・晩３食の食事を基本無料で提供しています。メインメニューはすべて日替わりで、その日の気分や好みに合わせて、選択することができます。しっかり食べたい人に向けたメニューから野菜中心メニュー、また、一部のカフェテリアではハラル、インドベジにも対応しています。様々なニーズに応えたバラエティ豊かなメニューが好評です。
※厨房の無い小規模オフィスでは、ケータリングによる食事提供やバウチャーによる昼食の食事補助などが受けられます。"
楽天,ストックオプション・従業員持ち株会,楽天には、株に関する制度として「ストックオプションプログラム」や「従業員持株会」があります。「ストックオプションプログラム」は報酬プログラムの一つとして、楽天の株式100株を1円で購入できる権利を付与する制度です。業績や評価に基づいて最大年に2回権利が付与されることがあります。「従業員持株会」は社員が自身で設定した金額を給与から天引きし、定期的に楽天の株式を購入していく制度です。中長期的な資産形成につながります。
楽天,クラブ活動（Rakuten Official Club）,楽天には約50のクラブがあり、役職や雇用形態に関係なく自由に加入・活動することができます。会社から活動費の一部補助も行っており、従業員間のコミュニケーションを促進しています。
楽天,楽天クリムゾンハウスサービス施設,楽天クリムゾンハウス内には充実した福利厚生施設が揃っています。託児所、カフェテリアのほか、ヘアサロン、ネイルサロン、フィットネスジム、鍼灸＆マッサージ、クリーニングなど、プロによるサービスを優待価格で受けることができます。
楽天,"社員寮（Residence, Mizonokuchi）","食事や団欒をゆっくりと楽しめるダイニングラウンジ、複数人が同時に利用できる広々としたキッチンやランドリー、プロジェクターやホワイトボードも用意されたコミュニケーションスペースなど、快適に過ごせるよう配慮された共有スペースが揃っています。
※新卒入社者対象。その他、入寮には一定の条件があります。"
エムスリー,休日休暇,完全週休2日、祝日、年末年始休暇、有給休暇、その他特別休暇制度
エムスリー,社会保険,各種社会保険（健康保険、厚生年金保険、雇用保険、労災保険）完備、確定拠出年金制度、借上社宅制度、持株会制度、健康保険組合等による各種サービスあり
カカクコム,結婚休暇、祝い金,"対象者：全社員
結婚した際に特別有給休暇とお祝い金を支給します。"
カカクコム,出産祝い金,"対象者：全社員
子供が生まれた際にお祝い金を支給します。"
カカクコム,配偶者の出産に伴う特別休暇,"対象者：男性社員
出産1ヶ月以内に1日取得することが可能です。"
カカクコム,育児休業,"対象者：全社員
最大で子供が3歳になる年の年度末まで取得可能です。"
カカクコム,育児短時間勤務,"対象者：全社員
最大12年間（子供が小学校を卒業するまで）取得可能です。コアレスフレックスタイム制も選択できます。"
カカクコム,ベビーシッター割引,"対象者：全社員
従業員が就業のためにベビーシッターを利用する際に、割引券を配布します（諸条件有）。"
カカクコム,子供の看護休暇,"対象者：全社員
年間10日を上限とし、内5日は有給にて休暇を取得できます。
子が複数いる場合は年間20日を上限とし、内10日は有給にて休暇を取得できます。"
カカクコム,家族手当,"対象者：全社員（等級など制限有）
扶養する18歳未満の子供１人目5,000円、2人目10,000円、3人目以降15,000円を支給します。
"
カカクコム,介護休業,"対象者：全社員
要介護状態にある家族の介護のために、一定期間取得可能です。"
カカクコム,介護休暇,"対象者：全社員
年間10日を上限とし、内5日は有給にて休暇を取得できます。"
カカクコム,介護短時間勤務,"対象者：全社員
勤務時間の短縮に加え、コアレスフレックスタイム制も選択できます。"
カカクコム,弔事見舞金,"対象者：全社員
親族が亡くなった場合、お見舞金を支給します（諸条件有）。"
カカクコム,フレックスタイム制,10時から15時をコアタイムとする、フレックスタイム制を導入しています（一部職種を除く）。
カカクコム,年次有給休暇,入社日より付与します。
カカクコム,研修・セミナー参加,有料研修・セミナーに参加する際に会社が費用面で支援を行います（諸条件有）。
カカクコム,資格取得支援,業務に関連のある資格の取得について会社が受験費用等の支援を行います（諸条件有）。
カカクコム,自己申告届,"年に1度、キャリアの希望を自己申告いただきます。
申告内容と組織の状況をふまえ、社内における役割変更や配置転換を検討します。"
カカクコム,ドリンク無料,社内に設置されたドリンクバー（お茶類、コーヒー）を、無料で利用できます。
カカクコム,婦人科検診,通常の健康診断のほか、年齢問わず婦人科検診の受診が可能です。会社が全額負担します。
カカクコム,ボランティア休暇,ボランティア活動に参加する際に取得できる休暇です。1年につき3日間の休暇を取得できます。
カカクコム,従業員持ち株会,カカクコム株式を定期的に取得し、中期的な資産形成を会社が支援する制度です。会社からの奨励金もあります。
カカクコム,確定拠出年金,老後資金の形成のため、確定拠出年金（日本型401K）を導入しています。会社が掛け金を拠出し、社員が自ら運用する制度です。
カカクコム,グループ会社保養施設,鎌倉の海を臨める場所にグループ会社の保養施設があり、社員、家族で利用することができます。
カカクコム,EAP,社員とその家族の方が公私にわたる悩みや心配事を専門のカウンセラーに相談できるプログラムです。会社に知られることなく相談ができます。
ビジョナル,設備・機器,生産性向上を目的に、社内カフェを設置しコーヒーなどの各種ドリンクの提供を行っています。また、エンジニアやデザイナー向けに、エルゴヒューマン（疲労を軽減するオフィスチェア）の貸与をしています。
ビジョナル,部活動支援,業務を越えた社内のつながりを作ることを目的に、公式認定された部活には部費が一部補助される制度です。
ビジョナル,コミュノミ,四半期に一度、各部門の親睦・慰労を兼ねた交流会の費用を補助する制度です。
ビジョナル,コミュラン,業務を越えた社内のつながりを作ることを目的に、月に一度、ランダムに選定された4〜5人でランチを開催できる仕組みです。
ビジョナル,フレックス制度,柔軟な働き方を実現するため、1か月のフレックス基準時間の中で、日々の勤務時間を調整できる制度です。勤務時間はフレキシブルタイム（5:00～22:00）内で、始業時間帯／終業時間帯を守って調整いただけます。
ビジョナル,マイチョイス（勤務形態選択制度）,ライフステージに合わせて働き方を選べる制度です。勤務日数と勤務時間などの組み合わせから、それぞれにあった働き方を一時的に選択することが可能です。自身の体調不良や、予期せぬ親の介護などが発生した際に、安心して働き続けてほしいという想いから形になりました。
ビジョナル,ランウェイ（出産復職支援制度）,出産からのフルタイム正社員復帰をサポートする制度です。早期復帰特別賞与、幼稚園・保育園費用補助、ベビーシッター費用補助を提供することで、社員のスムーズな仕事復帰を支援しています。社内の適用ルールに準じて、子どもが小学校に入学するまで支給されます。
ビジョナル,企業主導型保育施設,育休からの復職支援を目的として、企業主導型保育事業を展開しているパートナー企業と提携。子どもを、優先的に保育園に預けることが可能です。
ビジョナル,がん検診費用補助,子宮頸がん検診、乳腺超音波、乳腺マンモグラフィ、前立腺がん検査をはじめとする各検査を、会社負担にて受診できる制度です（諸条件有り）。
ビジョナル,インフルエンザ予防接種,全従業員（パート・アルバイト、派遣社員、業務委託も含む）、及び社員の扶養家族も対象に、全額会社負担で予防接種を受けられる制度です。
ビジョナル,アニバーサリー休暇,有給休暇や夏季休暇、年末年始休暇のほかに、年間で1日、「大切な誰かや自分」のために自由に休暇を取得できる制度です。「関わるすべての人が幸せになる事業づくり」を目指すVisionalだからこそ、大切な人と過ごす時間を増やしたいと考えています。
ビジョナル,持株会制度,社員の皆さんとともにVisionalの中長期かつ持続的な成長を目指すため、正社員・契約社員が、一定の条件のもとにビジョナル株式会社の株式を取得できる制度です。各社員の拠出金に対して奨励金も支給されます。
ミクシィ,住宅手当・住宅賃貸/分譲物件サポート,"渋谷駅から届出住所まで直線3km以内の方に月3万円を住宅手当として補助しています。
また、提携先の不動産仲介業者を利用いただくことで、物件購入・賃貸の契約成立時に社員優待を受けることができます。"
ミクシィ,転居費用/転居時交通費補助,株式会社MIXIの正社員として入社のため、遠方から引越しされた場合、その費用を会社で補助します。（条件/上限金額あり）
ミクシィ,社内カフェ(BYRON BAY COFFEE),BYRON BAY COFFEE(バイロンベイコーヒー)のドリンク・フードメニューを半額補助で提供しております。
ミクシィ,ドリンクバー,コーヒー、紅茶、スープなどを各種取り揃えたドリンクバーを設置しており、社員なら誰でも無料で利用できます。
ミクシィ,ランチ代サポート,社内食堂を利用の際に、半額補助しております。
ミクシィ,企業型確定拠出年金,一定の金額を毎月拠出して、加入者個人が金融商品（定期預金、投資信託等）で運用し、形成した資産を60歳到達後に年金または一時金として受け取る制度です。
ミクシィ,ミクブレ（リフレッシュ休暇）,"『ミクブレ』とはMIXI BREAK（ミクシィブレイク）の略称であり、勤続在籍期間5年ごとに、5日間のリフレッシュ休暇とインセンティブをセットで支給します。
※休職・産休期間はカウントに入りません。"
ミクシィ,Appleギフトカード/Google Playカード購入補助,有料アプリやアプリ課金の利用体験の促進を目的とした制度で、「Apple Gift Card」または「Google Play ギフトカード」の購入金額の50%を補助します。（上限あり）
ミクシィ,従業員持株会,社員の財産づくりをすすめる一策で、天引きにより一定金額を拠出し、株式会社MIXIの株式を購入する制度です。
ミクシィ,病児保育＆ベビーシッター補助制度,"お子様が病気の時にも働ける手段を提供することによって時間的制約の軽減をはかります。
病児保育やベビーシッター会社、ファミリーサポート等の保育サービスを利用した際の利用料の半額を補助します。（上限金額あり）"
ミクシィ,健康保険組合(ITS)によるベネフィット,当社加入の健保組合保険証の提示にて、提携機関 (保養施設、スポーツ施設、レストラン、会議室など) を利用できます。
