企業名,name
サイバーエージェント,メディア
サイバーエージェント,インターネット広告
サイバーエージェント,ゲーム
サイバーエージェント,スタートアップ
サイバーエージェント,AI
サイバーエージェント,DX
DeNA,ゲーム
DeNA,ライブストリーミング
DeNA,ヘルスケア・メディカル
DeNA,スポーツ
DeNA,便利な暮らしづくり
DeNA,新領域
DeNA,新しいモノづくり
DeNA,ビジネス創出
Gree,ゲーム
Gree,アニメ
Gree,DX
Gree,コマース
Gree,マンガ
Gree,投資
メルカリ,マーケットプレイス
メルカリ,フィンテック
メルカリ,米国事業
楽天,Eコマース
楽天,トラベル
楽天,インターネットサービス
楽天,フィンテック
楽天,モバイルサービス
楽天,スポーツ
エムスリー,医療
エムスリー,DX
カカクコム,Webメディア
カカクコム,旅行
カカクコム,保険
ビジョナル,HR
ビジョナル,物流
ビジョナル,M&A
ビジョナル,サイバーセキュリティ
ミクシィ,スポーツ
ミクシィ,ライフスタイル
ミクシィ,デジタルエンターテインメント
ミクシィ,ゲーム
ミクシィ,投資
マネーフォワード,フィンテック
マネーフォワード,SaaS
freee,フィンテック
freee,SaaS
freee,労務
サイボウズ,グループウェア
サイボウズ,メソッド
サイボウズ,研究開発
サイボウズ,コンサルティング
ZOZO,Eコマース
ZOZO,BtoB
ZOZO,広告
CARTA HOLDINGS,デジタルマーケティング
Sansan,DX
Sansan,SaaS
Sansan,BtoB
リクルート,住まい
リクルート,美容
リクルート,旅行
リクルート,結婚
リクルート,飲食
リクルート,DX
リクルート,SaaS
リクルート,人材
リクルート,採用
GMOインターネットグループ,インターネットインフラ
GMOインターネットグループ,暗号資産
LINEヤフー,メディア
LINEヤフー,コマース
LINEヤフー,Fintech
LINEヤフー,メッセンジャーSNS
LINEヤフー,AI