name,description
ネイティブエンジニア,"アプリ全体の設計から、UIやアニメーション・インタラクションの設計・開発、エンドユーザーに寄り添った機能開発・運用、モバイルアプリに関する深い知識を用いたアプリパフォーマンスの改善、テスタビリティの向上などクリエイティブレベルの高いモバイルアプリの実現に取り組んでいただきます。
また、スケーラビリティのあるプロジェクトへの本質的改善作業、タブレット、マルチデバイス対応、広告配信・トラッキングなども行います。"
フロントエンドエンジニア,Web技術を用いて機能の設計と開発、UI/UXデザイン、セマンティックマークアップ、パフォーマンス、アクセシビリティ、セキュリティなどユーザーが目にする全てのものに幅広く関わり、業界最高峰の技術力と開発品質で最高のユーザー体験の提供に取り組んでいただきます。ユーザーインターフェースの開発だけにとどまらず、複雑なビジネスロジックのスマートな実現、ユーザー体験の定量分析と改善、検索エンジン最適化を通じた流入の最大化、開発生産性の持続的な向上など、大規模サービスにて広い視野を持って問題解決を行うための専門性と創造力が求められます。
ゲームクライアントエンジニア,Unityなどのゲームエンジンを用いたスマートフォンゲームの開発・運用や、Android/iOSアプリに関する技術検証などを行います。担当領域は、インゲーム、アーキテクチャ、グラフィック、UI、ツール開発、AI等、非常に多岐にわたり、面白いゲームを開発するために、プランナー・クリエイターなど関係する職種と協力し、ゲーム仕様に関する設計や決定にも関わります。入社後のゲーム開発はUnityがメインですが、UnrealEngineやDirectXなどを用いてのゲーム開発経験がある場合も歓迎です。
テクニカルアーティスト,主にゲーム開発の現場でエンジニアとデザイナー間での橋渡しの役割を担っています。デザイナーへはツールの提供やデザインの提案、エンジニアへはデザインデータを実装するにあたっての変換など、数多くのサポートを提供します。関係する複数の職種と協力し、求めるクオリティを実現するために技術的支援を行っています。入社後の開発はUnity、Mayaがメインですが、その他エンジンやツールを使用頂いている方も歓迎です。
XRエンジニア,3DCG・XR・フォトグラメトリー・AI・メタバースなど、先端技術とクリエイターの力を掛け合わせる事で未来の当たり前の社会実装に挑戦していきます。主には、3DCGを用いた多種多量な広告クリエイティブの制作と運用、新しいメタバース概念の推進することが役割です。最新の設備が揃うカムロ坂スタジオにあるハードウェア（LED STUDIO、クロマキー、3Dスキャン、モーションキャプチャ）と、ソフトウェア技術を掛け合わせて「新しい作り方」自体を作ることに挑戦します。
バックエンドエンジニア,"メディアサービス(ABEMA,タップル,AWAなど)、広告プロダクト、ゲームなど、日本最大級のユーザ数、トラフィック量を支えるためにプロダクトの設計、開発を行います。Go, Java, Scala, PHPなど多種多様な言語での開発に加え、パブリッククラウド(AWS,GCP)・プライベートクラウドなどを利用したシステム構築など幅広い領域の業務に携わります。またAIを活用した、小売・医療・行政を含む事業領域の社会課題解決にむけたDX推進も行います。"
インフラエンジニア（SRE）,各プロダクトのクラウド環境に合わせたインフラ設計のアドバイスや構築、運用作業やその自動化を行います。また、データベースやモニタリングのベストプラクティスを集約し、プロダクトチームへ展開します。Site Reliability Engineering文化の展開を支援し、プラクティスやツールの作成、プロダクトチームへの提案も含めた直接的な文化醸成を行います。
インフラ（クラウドプラットフォーム）,"IaaS開発
サーバー・ストレージなどのハードウェアの選定・設計・構築・運用を行います。
また、GPUクラスタ環境の他、ストレージ基盤のソフトウェア面や一部仮想化基盤の設計・構築・運用なども行います。

データセンターネットワーク・サーバ・ストレージ
プライベートクラウドの基礎となるデータセンターの選定をはじめとして、ネットワーク・ストレージ・ハードウェアの選定・設計・構築・運用を行います。

マネージドサービス開発
各種クラウドプラットフォームをベースとしたマネージドサービスの開発を行います。

パブリッククラウド
パブリッククラウドを利用している事業部へのインフラ設計・構築、自動化の支援などを行います。すでに稼働している環境への支援や、スタートアップ事業に立ち上げから関わることもあります。"
インフラエンジニア（オフィス・スタジオ）/セキュリティエンジニア/コーポレートエンジニア,"インフラエンジニア（オフィス・スタジオ）
サイバーエージェントグループの国内・海外オフィスやスタジオのWAN・LAN・Wi-Fi・5Gなどの企画・設計・構築・運用業務を行います。生配信や開発業務でも利用されるミッションクリティカルなネットワークインフラのためエンジニアの技術力を最大限に活かすことができる環境です。

セキュリティエンジニア
社内で利用するユーザ管理システムや不正アクセス監視システムの開発/運用を始めとして、サービス開発に関わるセキュリティ設計支援や脆弱性診断、社内システムにおけるマルウェア対策、ISMSや各種ガイドラインへの準拠を目的とした情報セキュリティマネジメントの維持管理業務など情報セキュリティに関わる多くの分野で実務経験を積むことができます。

コーポレートエンジニア
サイバーエージェントグループ全体の生産性を向上させるべく、従業員が利用するシステムの企画・設計・開発・実装・運用をワンストップで行います。様々なOSSを積極的に利用した内製開発と、グローバルSaaSプロダクトの利用をバランス良く行い、効率的に攻めの社内向けITサービスの充実化を図っています。"
機械学習エンジニア,サイバーエージェントが抱える様々な事業課題に対し、各事業が保有する大規模データや機械学習技術を用いたソリューションの提案から実行までを行います。業務内容は、課題の発見や施策の提案から、アルゴリズムの開発・評価、システムの設計・実装・テスト・運用までと多岐に渡ります。それらを実現するために、最新の機械学習の専門知識だけでなく、コンピュータサイエンス・数学の基礎知識、またそれらをうまく組み合わせて応用・実装する能力が求められます。
データサイエンス,サイバーエージェントが取り組んでいる様々な事業に対してデータ分析によって、その価値を向上させます。ビジネス課題に対する仮説立てや指標設計から、オフラインでの調査・検証・アルゴリズムの改善提案およびその開発・プロダクト実装・A/Bテスト等によるオンラインでの効果検証などを行います。それらを実現するために、統計、機械学習、経済学の知識や、組織において事業の意思決定をするためのコミュニケーションスキルや論理的思考力なども求められます。
大規模データ基盤,ABEMAやアメーバブログをはじめとしたメディアサービスが持つ大規模データを、収集・蓄積・活用するための基盤システムの開発・運用を行います。具体的には、様々な計算機リソースや機械学習アルゴリズムを透過的に扱うためのプラットフォーム、費用対効果向上のための運用自動化やリソース最適化、機械学習を効果的に活用するための開発環境などに関する開発・運用、および研究開発から実用化を担当します。 並列分散処理、システムソフトウェア、データ工学、ソフトウェア工学などの専門性がいかせます。
ビジネスアナリスト,本職種は、対象サービスによって提供するアセットは変わりますが、大きく分けると「分析のスペシャリスト」と「コンサルタント」の2つになります。「分析のスペシャリスト」は、定型的なレポートの提供・判別器や機械学習のPoCの提供などを行い、「コンサルタント」は事業部が自走できるような体制構築の支援・事業方針の補佐などコンサルタント的な動きをする職種となっています。これらの業務ができるようになるために、徐々に成長をしていき事業部とともに自分も成長していける方を求めています。バックグランドとしては、数理統計の基礎、コンピュータサイエンスの基礎、論理的思考の能力などが求められます。